歌名,難度,譜面定數,主分類,副分類,技巧標籤,不確定度,備註
Flap&Clap,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,整體密度高且TAP連續配置多，BPM190下需要穩定交互與節奏維持。
M.L.V.G,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高且BPM190下TAP壓力明顯，整體偏持續處理型。
イーヴィルガール,master,14,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，TAP與長條交錯持續；重點在基礎穩定與耐力。
Blow my mind,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，BPM175下持續TAP與長條混合處理明顯。
INTERNET YAMERO,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,CHAIN高且圖面配置持續，BPM185下TAP密度與交互穩定要求高。
フリーフォール,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高，BPM180下TAP與長條混合壓力持續。
ワンダーシャッフェンの法則,master,14,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面TAP與長條配置持續，整體偏全程穩定型。
カルチャ,master,14,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面配置量高且持續，TAP與長條混合出現；推分重點在全程穩定與節奏維持。
BlackFlagBreaker!!,master,14,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，TAP與長條混合持續；推分重點是全程穩定。
REDRAVE,master,14,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,整體TAP與長條配置量高，推分重點在全程穩定。
二次元ドリームフィーバー,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高，BPM180下TAP與長條混合持續；整體偏持續處理型。
キルミーのベイベー!,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高，BPM200下TAP與長條混合持續；以速度下的穩定處理為主。
董卓討つべし,master,14,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面TAP與長條混合配置量高，CHAIN偏高；推分重點在全程節奏與穩定。
紅き魔汁、闇より降りて天啓の響きを導く,master,14,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,CHAIN2620且圖面配置量高，TAP與長條混合持續；全程穩定與節奏維持是重點。
Innocent Truth,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面TAP與長條混合配置持續，BPM190下處理壓力穩定存在；重點在交互與節奏維持。
BOKUTO,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,CHAIN2338且BPM188，圖面配置持續；以交互穩定與全程處理為主。
MUSIC PЯAYER,master,14,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面配置量高且持續，TAP與長條交錯多；全程穩定處理重要。
最終鬼畜妹・一部声,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面BPM200下配置量高，TAP與長條混合持續；交互穩定與耐力是主軸。
KiLLKiSS,master,14,高速處理,"全體難,混合節奏,拘束配置",交互穩定,中,圖面整體TAP密度高，節奏切換與長條混合配置多；BPM200下主要考驗高速反應與交互穩定。
Starlight★Limited,master,14,拘束配置,"視認難,全體難,混合節奏",片手處理,中,圖面長條/滑條與TAP交錯密度高，低BPM下視認與手順整理壓力較大。
ソレイユ,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面有大量長條與TAP混合配置，視認與片手處理容易影響穩定度。
バンバード ~Piano Version~,master,14,拘束配置,"視認難,混合節奏,局部難",片手處理,中,低速下長條與TAP交錯較多，主要考驗視認、手順與局部配置穩定。
Challenger!!,master,14,拘束配置,"混合節奏,視認難,局部難",片手處理,中,圖面有多段長條/滑條與TAP牽制，且節奏配置較碎；重點在局部手順與片手處理。
Steamed on the Beat,master,14,局部難,"混合節奏,拘束配置,視認難",片手處理,中,圖面段落差明顯，長條與TAP交錯造成局部手順壓力；不是單純物量型。
Lostwizz,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條與TAP交錯頻繁，主要考驗手順整理與視認穩定。
ジェヘナ,master,14,拘束配置,"視認難,局部難,混合節奏",片手處理,中,圖面有大片長條/滑條牽制與局部TAP，低速下視認與手順整理是核心。
ノンブレス・オブリージュ,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,長條與TAP交錯密集，整體視認壓力與拘束處理明顯。
〚隔絶〛 ~Flame of Determination,master,14,局部難,"視認難,混合節奏,拘束配置",,中,圖面有局部配置壓力與視認難段落，但技巧需求較分散；以段落穩定為主。
Death Doll,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面大量長條與TAP交錯，整體拘束與視認壓力明顯。
Lovely Lovely Lover,master,14,局部難,"混合節奏,拘束配置,視認難",,中,圖面有段落型配置與混合節奏，長條牽制存在但不至於主導全曲；重點在局部穩定。
壱雫空,master,14,高速處理,"局部難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面在BPM204下有高速TAP與局部節奏壓力，部分高速配置可用餡蜜輔助。
ASH,master,14,局部難,"視認難,拘束配置,混合節奏",,中,圖面段落型配置與視認難較明顯，整體不是純物量；重點在局部穩定。
セガサターン起動音[H.][Remix],master,14,高速處理,"全體難,拘束配置,混合節奏",交互穩定,中,圖面BPM148但TAP配置密集且節奏切換多，重點在交互穩定與混合節奏處理。
え?あぁ、そう。- 10th Anniversary Edition -,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,長條與TAP交錯持續出現，視認與手順整理是主要壓力；整體偏拘束配置。
ガチ恋ラビリンス,master,14,高速處理,"全體難,物量譜面,拘束配置","交互穩定,餡蜜可用",中,圖面BPM213且配置量高，TAP與交互處理持續；部分高速段可用餡蜜輔助。
Crack,master,14,物量譜面,"全體難,高速處理,拘束配置","交互穩定,餡蜜可用",中,圖面BPM200下TAP與長條配置持續，速度與交互穩定是主要壓力。
MEGALOVANIA,master,14,高速處理,"全體難,物量譜面,拘束配置","交互穩定,餡蜜可用",中,圖面BPM240下速度反應壓力明顯，TAP與長條混合配置持續。
Rule the World!!,master,14,局部難,"視認難,混合節奏,拘束配置",交互穩定,中,圖面有段落型TAP與長條配置，整體不是純物量；局部視認與節奏穩定較重要。
天火明命,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條與TAP配置交錯多，視認與手順牽制明顯。
宵闇の月に抱かれて,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面有大量長條/滑條與TAP交錯，視認與片手處理是主軸。
C & B,master,14,局部難,"視認難,混合節奏,拘束配置",交互穩定,中,圖面局部TAP配置與混合節奏較明顯，重點在段落穩定與視認。
再生不能,master,14,高速處理,"全體難,物量譜面,拘束配置","交互穩定,餡蜜可用",中,圖面BPM236下速度壓力明顯，TAP與長條配置持續；部分高速段可用餡蜜輔助。
I'll make you Super Rock Star,master,14,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有大量長條/滑條與TAP交錯，低中速下手順牽制明顯；主要考驗視認與片手穩定。
寡黙なるフォール,master,14,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面段落差明顯，長條與滑條牽制多；主軸是視認與手順整理。
MELtin' 17,master,14,拘束配置,"視認難,局部難,混合節奏",片手處理,中,圖面有多段長條與TAP交錯，段落型配置較明顯；主要看手順穩定。
クロートーと星の観測者,master,14,高速處理,"局部難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面BPM230下局部快速配置明顯，速度反應與交互穩定是主要壓力。
宙の隣,master,14,拘束配置,"視認難,局部難,混合節奏",片手處理,中,圖面長條與TAP交錯多，低BPM下視認和片手處理壓力明顯。
Oshama Scramble!,master,14,局部難,"高速處理,混合節奏,拘束配置",交互穩定,中,圖面有局部快速TAP、節奏變化與長條牽制；整體偏段落型而非全程物量。
ハジマリノピアノ,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條與TAP交錯多，BPM190下配置持續；主要考驗拘束下的穩定。
Outlaw's Lullaby,master,14,局部難,"視認難,拘束配置,混合節奏",片手處理,中,圖面低密度與局部配置交錯，長條牽制明顯；重點是手順與視認。
Pangaea,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,低BPM但長條/滑條牽制極多，TAP處理常被限制；偏拘束視認型。
アイリちゃんは暗黒魔導士!,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條牽制非常多，TAP配置穿插其中；主要難點是視認與片手處理。
デンパラダイム,master,14,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面BPM220下速度壓力明顯，TAP與長條混合持續；部分高速候選段可用餡蜜輔助。
ユメキキョウ,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條與TAP交錯多，整體偏拘束與視認處理型。
足立オウフwwww,master,14,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面有長條牽制與局部TAP配置，段落差明顯；重點在視認與片手處理。
Pastel Party,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條牽制密集，低BPM下視認與手順整理是主軸。
bubble attack,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條與TAP交錯多，低BPM下視認與手順整理壓力較大。
奏者はただ背中と提琴で語るのみ,master,14,局部難,"高速處理,視認難,拘束配置","階段,餡蜜可用",中,圖面BPM230下有局部快速配置與階段壓力，整體更偏段落型難點。
立川浄穢捕物帳,master,14,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面BPM210下速度壓力明顯，TAP與長條混合配置持續；部分高速段可用餡蜜輔助。
DataErr0r,master,14,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條與滑條牽制密集，TAP處理受限制明顯；視認與片手處理是核心。
Oshama Scramble! (Cranky Remix),master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中,圖面BPM190下TAP與長條配置持續，節奏壓力與處理量都明顯。
鬼KYOKAN,master,14,拘束配置,"全體難,高速處理,拘束配置",交互穩定,中,圖面BPM182下配置持續，長條牽制也明顯；整體偏穩定處理型。
Mr. Wonderland,master,14,拘束配置,"視認難,局部難,混合節奏",片手處理,中,圖面長條牽制與局部TAP配置明顯，低速下視認與手順整理是核心。
東方妖々夢 ~the maximum moving about~,master,14,物量譜面,"全體難,高速處理,混合節奏",交互穩定,中,圖面BPM198下TAP配置持續，整體偏速度下的穩定處理。
Alma,master,14,局部難,"視認難,拘束配置,混合節奏",片手處理,中,圖面整體密度不極端，但長條牽制與局部配置明顯；重點在手順整理。
My First Phone,master,14,標準,"混合節奏,局部難,視認難",,中,圖面整體密度較低，主要是節奏與局部配置判讀；沒有明顯單一極端核心。
《慈雨》~ La Symphonie de Salacia:,master,14,局部難,"視認難,混合節奏,拘束配置",片手處理,中高,定數空白；圖面有局部配置與拘束牽制，主要難點在視認與手順整理，建議補定數。
がんばれ!蜘蛛子さんのテーマ,master,14,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中高,定數空白；圖面整體密度很高且CHAIN偏高，TAP與長條混合持續，建議人工補定數。
Athlete Killer ”Meteor”,master,14,局部難,"視認難,混合節奏,拘束配置",交互穩定,中高,定數空白；圖面有局部TAP密集與視認壓力，BPM185下交互穩定重要，建議人工補定數。
今ぞ♡崇め奉れ☆オマエらよ!!,master,14,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中高,定數空白；BPM214下配置持續，TAP與長條混合壓力明顯，建議人工補定數。
ナイト・オブ・ナイツ,master,14,高速處理,"全體難,物量譜面,拘束配置","交互穩定,餡蜜可用",高,定數為12.2但出現在Lv14 MASTER批次，建議人工確認；圖面BPM188且CHAIN高，配置偏高速持續處理。
チルノのパーフェクトさんすう教室,master,14,局部難,"視認難,混合節奏,拘束配置",,高,定數為12.9但出現在Lv14 MASTER批次，建議人工確認；圖面偏局部視認與混合節奏處理。
空威張りビヘイビア,ultima,14,物量譜面,"全體難, 拘束配置, 混合節奏",,低,BPM 186、CHAIN 1939，整體密度與配置壓力都偏高。
アスノヨゾラ哨戒班,ultima,14,物量譜面,"全體難, 拘束配置, 混合節奏",,低,BPM 185、CHAIN 2174，整體高密度，屬綜合物量型。
ネ!コ!,ultima,14,物量譜面,"全體難, 拘束配置, 最後不能鬆懈",,低,BPM 182、CHAIN 2651，CHAIN 極高，整體持續壓力強。
回レ!雪月花,ultima,14,物量譜面,"全體難, 拘束配置, 混合節奏",,低,BPM 160、CHAIN 2013，整體密度高，長條與 TAP 混合壓力明顯。
ヒバナ,ultima,14,物量譜面,"高速處理, 全體難, 拘束配置",,低,BPM 200、CHAIN 1995，高速綜合物量，配置也不單純。
すろぉもぉしょん,ultima,14,拘束配置,"全體難, 混合節奏, 視認難",,中低,BPM 160、CHAIN 1780，低速但配置持續，讀譜與手順壓力較明顯。
愛包ダンスホール,ultima,14,拘束配置,"交叉配置, 混合節奏, 全體難",,中低,BPM 141、CHAIN 1801，長條滑條牽制多，整體偏配置處理。
ロキ,ultima,14,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 150、CHAIN 1818，圖面偏滿，配置也不單純。
裏表ラバーズ,ultima,14,高速處理,"混合節奏, 局部難, 全體難",,中,BPM 159、CHAIN 1743，節奏與段落處理明顯，偏高速綜合。
What's up? Pop!,expert,14.1,物量譜面,"全體難,高速處理,拘束配置","交互穩定,階段",中低,圖面整體處理量高，連續 TAP、階段與長條/滑條牽制多；後段仍維持密度。
LAMIA,expert,14.1,物量譜面,"全體難,拘束配置,視認難","交互穩定,片手處理",中低,圖面整體密度高，長條/滑條與 TAP 交錯密集，後段仍有處理量。
Phantom Crisis,expert,14.1,局部難,"拘束配置,視認難,最後不能鬆懈",片手處理,中,圖面有明顯段落落差與局部尖峰，後半長條/滑條與 TAP 疊合較多；主要看局部手順、視認與尾段穩定。
The Devil Incarnate,expert,14.1,局部難,"高速處理,拘束配置,最後不能鬆懈","階段,交互穩定",中,圖面有多段快速階段與局部密集，並穿插長條/滑條牽制；尾段仍有高壓。
Rebellion,expert,14.1,局部難,"拘束配置,階段,最後不能鬆懈","階段,片手處理",中,圖面有多段局部尖峰、長條牽制與階段配置，尾段仍有壓力。
"DESTRUCTION 3, 2, 1",expert,14.1,高速處理,"全體難,拘束配置,最後不能鬆懈","階段,交互穩定",中高,圖面有高速階段與長條/滑條牽制，尾段仍有處理壓力；定數空白，建議人工確認。
Chasing destiny,master,14.1,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,整體配置量偏高且持續，TAP與長條交錯穩定出現；不是單點爆發，而是全曲穩定度與節奏維持。
Tie me down gently,master,14.1,物量譜面,"全體難,混合節奏,拘束配置",交互穩定,中低,整體配置量高，TAP與長條混合持續；節奏穩定與全程處理力是主軸。
HECATONCHEIR,master,14.1,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,CHAIN偏高且圖面配置持續，TAP與長條混合壓力大；重點是耐力與節奏穩定。
Sunlight Starlight,master,14.1,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,整體TAP與長條配置量高，BPM184下需要穩定交互與節奏維持。
Cinderella Story [BlackY Remix],master,14.1,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，TAP與長條混合持續；主要考驗全程穩定與節奏處理。
ピュグマリオンの咒文,master,14.1,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體配置量高，BPM190下TAP與長條交錯持續；交互穩定與耐力為主。
Arcahv,master,14.1,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,整體TAP與長條混合配置量高，CHAIN偏高；推分重點在持續處理與穩定節奏。
《選別》 ~ Refuge,master,14.1,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體密度高且CHAIN偏高，TAP與長條混合持續；全程穩定處理是主軸。
Vibrant Verve,master,14.1,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體TAP與長條混合配置量高，密度持續；重點在全程節奏與交互穩定。
Life,master,14.1,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量偏高，TAP與長條交錯持續；推分重點是全程穩定。
ナイト・オブ・ナイツ (Cranky Remix),master,14.1,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高，BPM180下TAP與長條混合持續；交互與耐力是主軸。
拝啓ドッペルゲンガー,master,14.1,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面BPM181下TAP與長條配置持續，CHAIN偏高；需要穩定交互與耐力。
おまかせ!!トラブルメイ娘☆とれびちゃん,master,14.1,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,CHAIN2794且圖面配置量高，BPM192下持續TAP壓力明顯；耐力與交互穩定是主軸。
Gustav Battle,master,14.1,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面配置量高且CHAIN偏高，TAP與長條混合持續；穩定度是主軸。
Ave Mujica,master,14.1,拘束配置,"局部難,視認難,混合節奏",片手處理,中,圖面長條/滑條與TAP交錯多，段落間配置差異明顯；主要難點在拘束下的手順整理與局部視認。
God only knows,master,14.1,拘束配置,"全體難,視認難,局部難",片手處理,中,長條與TAP交錯密集，視認與手順牽制感強；主軸是被拘束時仍需穩定處理下方配置。
Burn!!!,master,14.1,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條與TAP混合配置密集，主要考驗視認與拘束下的穩定處理。
Idoratrize World,master,14.1,局部難,"高速處理,混合節奏,拘束配置","階段,交互穩定",中,圖面有局部高速TAP與階段/交互配置，並穿插長條牽制；難點偏段落型。
Wing:No.6223,master,14.1,局部難,"高速處理,混合節奏,視認難",交互穩定,中,圖面有較多局部TAP與節奏變化，配置不算全程物量，重點在段落穩定。
月光,master,14.1,局部難,"視認難,混合節奏,拘束配置",交互穩定,中,圖面節奏與配置變化較多，局部密集段明顯；主要考驗段落穩定與交互。
NAGAREBOSHI☆ROCKET,master,14.1,高速處理,"全體難,物量譜面,拘束配置","交互穩定,餡蜜可用",中,圖面在BPM216下有明顯高速TAP與持續配置，速度反應是主要難點。
スコーピオンガールの貴重な捕食シーン,master,14.1,拘束配置,"全體難,視認難,混合節奏",片手處理,中,長條與TAP混合配置多，視認與拘束處理為主要壓力。
Ωκεανος,master,14.1,高速處理,"全體難,拘束配置,混合節奏",交互穩定,中,圖面在BPM196下有中高速TAP與持續配置，並穿插長條牽制；速度穩定是主軸。
夢と幻想の終点にて,master,14.1,高速處理,"全體難,物量譜面,拘束配置","交互穩定,餡蜜可用",中,圖面BPM230且配置持續，速度反應與交互穩定要求高；部分高速段可用餡蜜輔助。
ADAM,master,14.1,高速處理,"全體難,拘束配置,混合節奏",交互穩定,中,圖面BPM200下有高速TAP與持續配置，並穿插長條牽制；主軸是速度與穩定處理。
トレジャーガーデン,master,14.1,高速處理,"局部難,視認難,拘束配置","階段,餡蜜可用",中,圖面在BPM268下有明顯高速配置與局部密集段，速度反應是核心；部分高速段可用餡蜜輔助。
電光刹歌,master,14.1,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面BPM207下TAP與交互配置持續，速度反應與穩定度是主要壓力。
インパアフェクシオン・ホワイトガアル,master,14.1,高速處理,"全體難,拘束配置,混合節奏","交互穩定,餡蜜可用",中,圖面BPM207下有持續TAP與交互配置，速度與節奏穩定是主軸。
Baqeela,master,14.1,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面滑條/長條與TAP交錯多，視認與手順牽制是主要壓力。
#FairyJoke,master,14.1,局部難,"視認難,拘束配置,混合節奏",片手處理,中,圖面段落差明顯，局部長條牽制與TAP配置容易卡手；重點在手順整理。
サイバーサンダーサイダー,master,14.1,局部難,"視認難,拘束配置,混合節奏",片手處理,中,圖面長條牽制與局部配置壓力明顯，低BPM下視認與手順整理是核心。
ポーカーフェイス,master,14.1,局部難,"視認難,混合節奏,拘束配置",片手處理,中,圖面有局部密集與長條牽制，整體壓力集中在手順與視認處理。
Last Kingdom,master,14.1,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面綠線/長條牽制非常多，TAP處理常被限制；推分重點在拘束下的穩定。
モ°ルモ°ル,master,14.1,高速處理,"局部難,視認難,拘束配置","階段,餡蜜可用",中,圖面BPM256下高速配置明顯，局部階段與TAP段需要反應速度；部分高速段可用餡蜜輔助。
僕らのFreedom DiVE↓,master,14.1,物量譜面,"全體難,高速處理,拘束配置","交互穩定,餡蜜可用",中,圖面CHAIN偏高且BPM204，配置持續且速度壓力明顯；部分高速TAP段可用餡蜜輔助。
88D,master,14.1,拘束配置,"視認難,混合節奏,局部難",片手處理,中,圖面長條/滑條牽制偏多，低速下視認與手順整理是主要難點。
R.I.P.,master,14.1,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條/滑條牽制多，TAP配置穿插密集；主軸是拘束下的手順穩定。
まごころのカスクルゥト,master,14.1,拘束配置,"視認難,局部難,混合節奏",片手處理,中,低BPM下長條牽制與局部配置明顯，視認與手順整理是核心。
BlythE,master,14.1,局部難,"高速處理,混合節奏,拘束配置",交互穩定,中,圖面有局部階段/交互與混合節奏，長條牽制穿插；不是純物量型。
CO5M1C R4ILR0AD,master,14.1,拘束配置,"全體難,視認難,混合節奏",片手處理,中,圖面長條與滑條牽制多，TAP配置穿插；視認與片手處理是主軸。
コモリの怪物,master,14.1,局部難,"高速處理,視認難,拘束配置","階段,餡蜜可用",中,圖面有BPM255下的高速局部配置與階段感段落，長條牽制也明顯；主要看局部反應。
The wheel to the Night ~インド人が夢に!?~,master,14.1,高速處理,"局部難,視認難,拘束配置",餡蜜可用,中,圖面BPM220下有局部高速配置，並穿插長條牽制；速度反應是主要難點。
頓珍漢の宴,master,14.1,局部難,"視認難,混合節奏,拘束配置",交互穩定,中,圖面節奏變化與段落差較明顯，長條牽制穿插；重點是混合節奏與局部穩定。
Phantasm Brigade,master,14.1,局部難,"視認難,混合節奏,拘束配置",,中,圖面整體量不算極端，但段落型配置與視認壓力明顯；重點在局部穩定。
カミサマネジマキ,master,14.1,高速處理,"局部難,視認難,拘束配置",餡蜜可用,中,圖面BPM284下速度壓力很強，局部高速配置是主要難點；部分段落可用餡蜜輔助。
ギガンティックO.T.N,master,14.1,局部難,"高速處理,混合節奏,拘束配置",交互穩定,中,圖面BPM190下有局部快速TAP與節奏變化，長條牽制穿插；偏段落型。
ぼくらの16bit戦争,master,14.1,局部難,"視認難,拘束配置,混合節奏",片手處理,中,低BPM但局部配置與長條牽制明顯，視認與手順整理是核心。
"Help me, ERINNNNNN!!",master,14.1,物量譜面,"全體難,混合節奏,拘束配置",交互穩定,中高,定數空白；圖面整體配置量高，TAP與長條混合持續，依譜面圖判斷偏物量與節奏穩定型，建議補定數。
crazy (about you),master,14.1,局部難,"視認難,混合節奏,拘束配置",,中高,BPM欄疑似抓取異常；圖面段落差明顯，主要看局部視認與配置處理。
《真紅》~ Pavane Pour La Flamme,master,14.1,局部難,"視認難,混合節奏,拘束配置",片手處理,中高,定數空白；圖面有局部密集與長條牽制，視認與手順壓力明顯，建議補定數。
ストリーミングハート,ultima,14.1,物量譜面,"全體難, 拘束配置, 混合節奏",,低,BPM 210、CHAIN 2248，高速高密度，整體壓力強。
イカサマライフゲイム,ultima,14.1,物量譜面,"高速處理, 全體難, 拘束配置",,低,BPM 200、CHAIN 2135，高速且配置密度高，整體壓力明顯。
六兆年と一夜物語,ultima,14.1,物量譜面,"高速處理, 全體難, 拘束配置",,低,BPM 186、CHAIN 2089，中高速高密度，整體壓力明顯。
Campus mode!!,ultima,14.1,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 183、CHAIN 2209，整體密度高，長條與滑條也有持續牽制。
BOW AND ARROW,ultima,14.1,拘束配置,"交叉配置, 局部難, 混合節奏",,中,BPM 180、CHAIN 1118，CHAIN 不高，主要偏配置、交叉與局部處理。
ビビデバ,ultima,14.1,拘束配置,"交叉配置, 混合節奏, 局部難",,中,BPM 120、CHAIN 1700，速度不高，主要看手順、交叉與讀譜。
晴る,ultima,14.1,局部難,"拘束配置, 視認難, 標準",,中,BPM 204、CHAIN 1119，高 BPM 低 CHAIN，偏高速局部與讀譜。
Unlimited Spark!,ultima,14.1,局部難,"拘束配置, 視認難, 標準",,中,BPM 185、CHAIN 1816，雖有一定密度，但重點偏特殊配置與局部段落。
砂漠のハンティングガール♡,ultima,14.1,拘束配置,"視認難, 交叉配置, 混合節奏",,中,BPM 139、CHAIN 1810，圖面滑條、長條與特殊配置較多，偏讀譜手順。
業 -善なる神とこの世の悪について-,expert,14.2,物量譜面,"全體難,拘束配置,視認難","交互穩定,擦り可用",中低,圖面整體密度高且持續，滑條/長條、階段與 TAP 交錯密集；耐力、視認與配置穩定度是主軸。
ピアノ協奏曲第1番”蠍火”,expert,14.2,標準,"混合節奏,視認難,拘束配置",片手處理,中,圖面有大量長條視認與節奏變化，整體不算單純物量；主要考驗節奏判斷、視認與手順整理。
The Metaverse,expert,14.2,物量譜面,"全體難,拘束配置,最後不能鬆懈","交互穩定,擦り可用",中高,圖面整體處理量高，階段與長條/滑條配置連續出現，後段仍有壓力；定數空白，建議人工確認。
MOMOCO68000,master,14.2,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，TAP、長條與滑條交錯頻繁；全程穩定處理比單一殺點更重要。
メッちゅう殴打,master,14.2,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面TAP與長條混合配置量高，BPM178下持續處理壓力明顯。
NIGHTWAVE FRAGMENTS,master,14.2,物量譜面,"全體難,高速處理,混合節奏",交互穩定,中低,整體TAP與節奏配置密集，BPM190下需要穩定交互與節奏維持。
熱異常,master,14.2,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面整體密度高，BPM183下TAP與長條混合壓力持續；重點在耐力與交互穩定。
Knight Rider,master,14.2,物量譜面,"全體難,高速處理,拘束配置","交互穩定,餡蜜可用",中低,整體TAP與長條配置量高，BPM200下有持續高速處理壓力；部分高速段可用餡蜜輔助。
Blows Up Everything,master,14.2,物量譜面,"全體難,高速處理,拘束配置","交互穩定,餡蜜可用",中低,圖面配置量高且BPM215帶來明顯速度壓力，交互穩定與耐力是主軸。
Pre Paid Pog Punk Panic,master,14.2,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面密度高且節奏配置持續，BPM190下交互穩定與耐力要求高。
GODLINESS,master,14.2,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，TAP、長條與滑條交錯持續；重點在全程穩定與耐力。
サドマミホリック,master,14.2,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面配置量高，BPM200下持續TAP與長條混合處理；偏物量耐力型。
害虫,master,14.2,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,CHAIN2502且BPM190，圖面配置持續且TAP密度高；耐力與交互穩定是主軸。
覚醒楽奏メタフィクション,master,14.2,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面BPM200下配置持續，TAP與長條混合壓力明顯；整體處理力重要。
インビジブル,master,14.2,物量譜面,"全體難,高速處理,拘束配置",交互穩定,中低,圖面BPM192下配置量高且持續，TAP與長條混合處理壓力明顯。
患部で止まってすぐ溶ける~狂気の優曇華院,master,14.2,物量譜面,"全體難,高速處理,混合節奏",交互穩定,中低,圖面配置量高，BPM200下TAP與節奏壓力明顯；整體偏物量型。
Cyberozar,master,14.2,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面整體配置量高，TAP與長條混合持續；重點在節奏與耐力。
We Gonna Journey,master,14.2,物量譜面,"全體難,拘束配置,混合節奏",交互穩定,中低,圖面TAP與長條混合配置量高，CHAIN偏高；全程穩定處理重要。
